,n_cell,n_core_cell,n_edges_perimeter,n_edges_internal,area,core_area,perimeter,perim_area_ratio,shape_index,frac_dim_index,core_area_index,FID
1,612.9335468,511.2319856,119.5456365,2332.188551,612.9335468,511.2319856,119.5456365,2.781347384,1.306305332,NA,0.02862968,0
2,303.8853717,272.863789,36.29256595,1179.248921,303.8853717,272.863789,36.29256595,2.946373191,1.256993918,NA,0.016080287,1
3,296.9620679,257.7610435,47.0259283,1140.822343,296.9620679,257.7610435,47.0259283,2.798905896,1.319707285,NA,0.018017579,2
4,576.1929973,485.2638712,108.1115347,2196.660455,576.1929973,485.2638712,108.1115347,2.903487146,1.27736148,NA,0.01686193,3
5,674.0587058,594.5316878,92.68668001,2603.548143,674.0587058,594.5316878,92.68668001,3.118739302,1.177993903,NA,0.01159476,4
6,735.3603335,642.9261465,108.2525313,2833.188803,735.3603335,642.9261465,108.2525313,2.846048471,1.32973423,NA,0.018766228,5
7,343.0209119,294.2495715,58.63832705,1313.445321,343.0209119,294.2495715,58.63832705,2.742010109,1.37453701,NA,0.022947915,6
8,331.4948426,282,59.34197302,1266.637398,331.4948426,282,59.34197302,2.70910755,1.393212976,NA,0.026370944,7
9,382.7491058,323.6801226,70.09044456,1460.905979,382.7491058,323.6801226,70.09044456,2.802545581,1.320105124,NA,0.021006081,8
10,296.5813344,230.9234025,77.40495868,1108.920379,296.5813344,230.9234025,77.40495868,2.890686793,1.254264505,NA,0.009667832,9
11,599.6519184,519.4694089,94.17213965,2304.435534,599.6519184,519.4694089,94.17213965,2.796023886,1.324048029,NA,0.021044927,10
12,330.3697891,279.3342325,61.2957332,1260.183423,330.3697891,279.3342325,61.2957332,2.842100811,1.300703964,NA,0.013115335,11
13,384.9054684,343.272997,49.49130988,1490.130564,384.9054684,343.272997,49.49130988,2.837858765,1.321833509,NA,0.021089364,12
14,381.1229226,343.7025788,44.52378223,1479.967908,381.1229226,343.7025788,44.52378223,2.917441468,1.299234785,NA,0.018721006,13
15,121.3662744,105.5064549,18.10442134,467.3606763,121.3662744,105.5064549,18.10442134,3.222734248,1.121783325,NA,0.001992116,14
16,310.446822,290.2163136,23.39957627,1218.387712,310.446822,290.2163136,23.39957627,3.095223703,1.166698002,NA,0.005228035,15
17,307.6490928,272.8308431,41.10843116,1189.48794,307.6490928,272.8308431,41.10843116,2.964143063,1.252491473,NA,0.015094547,16
18,220.9796969,194.4699132,31.27056054,852.6482272,220.9796969,194.4699132,31.27056054,3.024272406,1.215434816,NA,0.012159736,17
19,410.8860268,377.2988709,38.60479887,1604.939308,410.8860268,377.2988709,38.60479887,2.799058297,1.264989521,NA,0.019986809,18
20,267.4071652,240.2596242,32.73659974,1036.892061,267.4071652,240.2596242,32.73659974,3.085238753,1.218718265,NA,0.00313242,19
21,619.5920255,600.8650718,21.05263158,2457.31547,619.5920255,600.8650718,21.05263158,3.170673466,1.130491752,NA,0.003271654,20
22,311.8446637,271.4495614,47.99317739,1199.385478,311.8446637,271.4495614,47.99317739,2.893322051,1.278524899,NA,0.014937704,21
23,666.5819421,641.1270869,28.72640545,2637.601363,666.5819421,641.1270869,28.72640545,3.027760627,1.182521369,NA,0.009096228,22
24,175.0218038,141.7008929,43.15023292,656.9369824,175.0218038,141.7008929,43.15023292,3.032248171,1.269995291,NA,0.00466504,23
25,565.4589938,543.4255686,26.38800827,2235.447967,565.4589938,543.4255686,26.38800827,3.094085811,1.199955383,NA,0.004326685,24
26,287.3905429,265.9708114,25.29091263,1124.271259,287.3905429,265.9708114,25.29091263,3.052727884,1.191690951,NA,0.00472846,25
27,332.7196721,305.754918,31.93360656,1298.945082,332.7196721,305.754918,31.93360656,3.106307856,1.190218177,NA,0.003216684,26
28,519.8375969,437.8715635,97.50153911,1981.848848,519.8375969,437.8715635,97.50153911,2.816783717,1.297635692,NA,0.020320236,27
29,378.8480135,340.4845309,46.38174134,1469.010313,378.8480135,340.4845309,46.38174134,3.011706135,1.219923343,NA,0.008371629,28
30,1127.195494,1082.212061,50.10337972,4458.678595,1127.195494,1082.212061,50.10337972,2.93523596,1.216126043,NA,0.011799266,29
31,1157.527828,1092.927692,75.75136861,4554.359945,1157.527828,1092.927692,75.75136861,2.964566617,1.236553922,NA,0.009660005,30
32,461.3566989,434.3366713,31.37983425,1814.046961,461.3566989,434.3366713,31.37983425,2.999676488,1.209452846,NA,0.010081322,31
33,1331.33428,1229.937816,120.427399,5204.909722,1331.33428,1229.937816,120.427399,2.951310978,1.262021586,NA,0.011086274,32
34,815.8355868,788.6646836,30.55164954,3232.790698,815.8355868,788.6646836,30.55164954,3.029101676,1.171997432,NA,0.007243878,33
35,1169.893055,1138.769514,35.68162262,4643.890596,1169.893055,1138.769514,35.68162262,3.031613651,1.199731131,NA,0.013535958,34
36,353.6505665,277.9242366,90.66583445,1323.936432,353.6505665,277.9242366,90.66583445,2.895370211,1.271958009,NA,0.009796726,35
37,218.0688883,162.8642537,66.25931112,806.0162419,218.0688883,162.8642537,66.25931112,2.922948673,1.276260481,NA,0.008859702,36
38,471.6766257,450.8418278,23.92091388,1862.785589,471.6766257,450.8418278,23.92091388,3.132559018,1.164201763,NA,0.002916434,37
39,453.2081922,431.9618109,24.53279951,1788.299969,453.2081922,431.9618109,24.53279951,3.174921993,1.139179795,NA,0.00318272,38
40,253.6648199,224.4435826,35.28162512,979.3776547,253.6648199,224.4435826,35.28162512,2.994312341,1.237783878,NA,0.00612285,39
41,224.7806745,189.2529399,42.79609496,856.3266031,224.7806745,189.2529399,42.79609496,3.093653114,1.190479197,NA,0.003629038,40
42,1251.444628,1170.717355,95.5292562,4910.249256,1251.444628,1170.717355,95.5292562,2.930019671,1.25634397,NA,0.012804595,41
43,1911.426896,1807.943706,122.3815481,7523.326036,1911.426896,1807.943706,122.3815481,2.92206787,1.270130186,NA,0.013518468,42
44,1692.556441,1623.292607,80.41168659,6689.814077,1692.556441,1623.292607,80.41168659,3.047989874,1.186168078,NA,0.006242741,43
45,547.4677778,491.6916667,67.13777778,2122.733333,547.4677778,491.6916667,67.13777778,2.99994293,1.22936396,NA,0.008165601,44
46,716.8252076,633.5524803,98.72642112,2768.574409,716.8252076,633.5524803,98.72642112,2.836917248,1.29708816,NA,0.016727117,45
47,875.6242679,753.318448,145.2225476,3357.274524,875.6242679,753.318448,145.2225476,2.934692948,1.26482372,NA,0.011430513,46
48,669.3154599,625.1855186,51.58747554,2625.674364,669.3154599,625.1855186,51.58747554,3.106686106,1.171219637,NA,0.004779857,47
49,896.5180812,805.9166052,107.5881919,3478.484133,896.5180812,805.9166052,107.5881919,2.902747442,1.269861104,NA,0.013158245,48
50,554.7622271,505.9656456,59.08546285,2159.963446,554.7622271,505.9656456,59.08546285,2.969235782,1.259370137,NA,0.010383755,49
51,667.1630996,626.4922509,48.37933579,2620.273063,667.1630996,626.4922509,48.37933579,2.892155094,1.330642843,NA,0.015066366,50
52,423.5513308,336.2086781,107.4081861,1586.797137,423.5513308,336.2086781,107.4081861,2.972972436,1.276913587,NA,0.006373768,51
53,483.5710368,430.1492046,65.33187054,1868.952276,483.5710368,430.1492046,65.33187054,3.012917347,1.21626832,NA,0.007741122,52
54,408.9735702,380.5918544,33.24436742,1602.649913,408.9735702,380.5918544,33.24436742,2.985414785,1.236108327,NA,0.011075162,53
55,464.9126853,440.247117,28.67655135,1830.97419,464.9126853,440.247117,28.67655135,2.975020311,1.216273169,NA,0.006456704,54
56,1299.515716,1120.041909,212.4703143,4985.592549,1299.515716,1120.041909,212.4703143,2.948168721,1.291019925,NA,0.013218549,55
57,1724.016065,1510.930665,249.0603157,6647.003946,1724.016065,1510.930665,249.0603157,2.957447518,1.308996855,NA,0.014561035,56
58,409.8278243,305.7767782,121.78159,1517.529707,409.8278243,305.7767782,121.78159,2.749845621,1.308320548,NA,0.02686102,57
59,2058.28693,1700.261392,414.4026039,7818.745118,2058.28693,1700.261392,414.4026039,2.929017658,1.307456276,NA,0.015807599,58
60,338.655411,228.7726266,129.9028508,1224.718793,338.655411,228.7726266,129.9028508,2.72575096,1.354152618,NA,0.025524558,59
61,1300.915381,1092.83684,241.7484806,4961.913043,1300.915381,1092.83684,241.7484806,2.768420637,1.318362391,NA,0.033963813,60
62,616.3652233,499.4284743,133.7288597,2331.732034,616.3652233,499.4284743,133.7288597,2.645198963,1.317841771,NA,0.032325975,61
63,1565.332814,1333.695146,266.3506912,5994.980563,1565.332814,1333.695146,266.3506912,2.764410864,1.275286348,NA,0.023364965,62
64,711.4698913,567.6504543,166.0065918,2679.872973,711.4698913,567.6504543,166.0065918,2.706058538,1.320598283,NA,0.027313812,63
65,372.169161,293.2003023,92.83129252,1395.845351,372.169161,293.2003023,92.83129252,2.764399062,1.304171033,NA,0.024984071,64
66,5427.671854,5001.774566,481.5091152,21229.1783,5427.671854,5001.774566,481.5091152,2.849577652,1.307831019,NA,0.018880788,65
67,27859.72523,26661.88288,1352.225225,110086.6757,27859.72523,26661.88288,1352.225225,2.954736824,1.70298974,NA,0.018472446,66
68,973.8468577,831.1186119,168.6484807,3726.73895,973.8468577,831.1186119,168.6484807,2.844943208,1.288201948,NA,0.01452212,67
69,33684.96552,33473.17241,213.1034483,134526.7586,33684.96552,33473.17241,213.1034483,3.260473831,1.144105489,NA,0.0342683,68
70,856.1101865,780.5672884,90.54175036,3333.898996,856.1101865,780.5672884,90.54175036,2.90781084,1.299082594,NA,0.011706862,69
71,362.6424637,338.4992489,27.81572359,1422.754131,362.6424637,338.4992489,27.81572359,3.010848559,1.215443169,NA,0.005993425,70
72,321.5520974,234.1123139,104.0952639,1182.113126,321.5520974,234.1123139,104.0952639,2.922781733,1.272459428,NA,0.012193538,71
73,279.5541424,220.5801095,70.42536654,1047.791203,279.5541424,220.5801095,70.42536654,2.945861883,1.255491641,NA,0.008268812,72
74,336.7069007,244.0262465,108.9479059,1237.879697,336.7069007,244.0262465,108.9479059,2.780111971,1.334997258,NA,0.018840963,73
75,294.8104805,251.1139365,51.44900253,1127.792919,294.8104805,251.1139365,51.44900253,2.879733665,1.260008253,NA,0.010524776,74
76,217.4158971,180.7286764,43.84400755,825.819581,217.4158971,180.7286764,43.84400755,2.940545122,1.248152661,NA,0.008003386,75
77,481.0091502,444.1515417,43.59839559,1880.438205,481.0091502,444.1515417,43.59839559,2.907128462,1.26351605,NA,0.010644774,76
78,154.459286,121.5223678,39.96222323,577.8749209,154.459286,121.5223678,39.96222323,2.911591201,1.280360355,NA,0.009247053,77
79,458.8717546,377.5414805,96.16278227,1739.324236,458.8717546,377.5414805,96.16278227,2.901379034,1.279165748,NA,0.011409403,78
80,634.0223828,543.2781107,106.9569968,2429.132534,634.0223828,543.2781107,106.9569968,3.028678185,1.243713746,NA,0.008754454,79
81,440.5239631,340.943318,117.9917051,1644.104147,440.5239631,340.943318,117.9917051,2.925635485,1.324417383,NA,0.012011877,80
82,449.9399752,386.6417079,76.48391089,1723.27599,449.9399752,386.6417079,76.48391089,2.846201652,1.324292462,NA,0.014420207,81
83,296.9387054,232.2097754,77.21690885,1110.537913,296.9387054,232.2097754,77.21690885,2.788587934,1.275088087,NA,0.018679431,82
84,223.338843,191.9139118,37.92837466,855.4269972,223.338843,191.9139118,37.92837466,2.986403802,1.233703332,NA,0.007699987,83
85,327.7162162,250.8449771,92.64864865,1218.216216,327.7162162,250.8449771,92.64864865,2.79435436,1.301624171,NA,0.017943574,84
86,614.4469256,460.9197411,183.0245955,2274.763107,614.4469256,460.9197411,183.0245955,2.881580767,1.270301918,NA,0.018711627,85
87,2635.683673,2263.931573,426.5834334,10116.15126,2635.683673,2263.931573,426.5834334,2.826523389,1.33537673,NA,0.026227581,86
88,1449.081625,1302.149962,167.2968869,5629.029613,1449.081625,1302.149962,167.2968869,2.821511199,1.28729371,NA,0.027182979,87
89,654.3567522,517.7850231,161.9360538,2455.490955,654.3567522,517.7850231,161.9360538,2.83711738,1.325039939,NA,0.02245321,88
90,824.3981092,727.2321429,114.855042,3182.737395,824.3981092,727.2321429,114.855042,2.899347828,1.264524706,NA,0.017662504,89
91,575.6499215,478.1666293,115.7555506,2186.844135,575.6499215,478.1666293,115.7555506,2.863436331,1.278640871,NA,0.017249551,90
92,267.0078563,248.4882155,20.77890011,1047.252525,267.0078563,248.4882155,20.77890011,3.138046788,1.14403284,NA,0.002540675,91
93,1233.142517,1050.861713,215.2310947,4717.338974,1233.142517,1050.861713,215.2310947,2.869928873,1.376926181,NA,0.027589548,92
94,219.9240111,151.2698607,81.24679666,798.4492479,219.9240111,151.2698607,81.24679666,2.84720039,1.330394326,NA,0.028680325,93
95,296.8943001,228.6803752,80.76695527,1106.810245,296.8943001,228.6803752,80.76695527,2.932799112,1.301387685,NA,0.015642432,94
96,273.3827819,193.4983991,94.87442191,998.6567058,273.3827819,193.4983991,94.87442191,2.932008212,1.32753994,NA,0.02624358,95
97,285.7669418,207.5197654,94.63900956,1048.428758,285.7669418,207.5197654,94.63900956,2.793054142,1.363930061,NA,0.038566455,96
98,1444.677551,1187.379592,305.9020408,5472.808163,1444.677551,1187.379592,305.9020408,2.907587981,1.500899365,NA,0.030212604,97
99,4460.990558,4154.218884,345.9450644,17498.01717,4460.990558,4154.218884,345.9450644,2.97808041,1.293491809,NA,0.024984876,98
100,3695.33223,3478.991396,246.209133,14535.11979,3695.33223,3478.991396,246.209133,2.931052466,1.286176331,NA,0.024572833,99
101,1776.414476,1629.654948,171.3169867,6934.340916,1776.414476,1629.654948,171.3169867,2.987579134,1.307404232,NA,0.023074044,100
102,704.8351159,498.8565062,236.1033868,2583.237077,704.8351159,498.8565062,236.1033868,2.818663001,1.360128178,NA,0.024582433,101
103,778.8996188,519.6149936,302.2782719,2813.320203,778.8996188,519.6149936,302.2782719,2.913881831,1.326389686,NA,0.017119371,102
104,3703.978179,3272.322799,504.2558315,14311.65688,3703.978179,3272.322799,504.2558315,3.00067986,1.330002948,NA,0.015902069,103
105,2358.496169,2112.1341,291.4214559,9142.563218,2358.496169,2112.1341,291.4214559,2.965730442,1.304080436,NA,0.011764601,104
106,232.4259664,144.0051058,105.7753465,823.9285193,232.4259664,144.0051058,105.7753465,2.781615707,1.343631973,NA,0.020322783,105
107,564.3848453,412.7204641,175.7559775,2081.783404,564.3848453,412.7204641,175.7559775,2.666340848,1.361548638,NA,0.033087273,106
108,530.1100877,404.1307018,147.6372807,1972.80307,530.1100877,404.1307018,147.6372807,2.632680739,1.37661449,NA,0.03452032,107
109,556.7142857,348.3418367,244.3979592,1982.459184,556.7142857,348.3418367,244.3979592,2.656168224,1.59851871,NA,0.050536766,108
110,1383.596389,1239.53873,167.7006407,5366.684916,1383.596389,1239.53873,167.7006407,2.728660252,1.359174428,NA,0.037290864,109
111,5049.172235,4719.714797,383.3206046,19813.36834,5049.172235,4719.714797,383.3206046,2.923555423,1.286557438,NA,0.014348904,110
112,2831.474474,2521.112112,362.3323323,10963.56557,2831.474474,2521.112112,362.3323323,2.79965514,1.341099683,NA,0.025926395,111
113,1707.380621,1408.873995,348.7881816,6480.734304,1707.380621,1408.873995,348.7881816,2.801525626,1.262352692,NA,0.021330879,112
114,7645.560331,7195.566546,517.9772139,30064.26411,7645.560331,7195.566546,517.9772139,2.622391533,1.321901546,NA,0.089043519,113
115,4439.117593,4125.408387,364.3345488,17392.13582,4439.117593,4125.408387,364.3345488,2.710362147,1.300402866,NA,0.057940021,114
116,2383.118154,2090.723846,335.0726154,9197.4,2383.118154,2090.723846,335.0726154,2.565180912,1.387235613,NA,0.077483692,115
117,3589.035556,3276.648148,359.1407407,13997.00148,3589.035556,3276.648148,359.1407407,2.716924397,1.319444856,NA,0.042077936,116
118,6015.431214,5677.399166,385.566962,23676.15789,6015.431214,5677.399166,385.566962,2.751805443,1.283298263,NA,0.025679718,117
119,307.1515789,287.5968421,21.30526316,1207.301053,307.1515789,287.5968421,21.30526316,3.209282,1.101492063,NA,0.002680992,118
120,392.2432904,335.1617936,68.59066114,1500.382501,392.2432904,335.1617936,68.59066114,2.904599972,1.264953855,NA,0.013305195,119
121,373.5173497,312.7819324,72.01017051,1422.059228,373.5173497,312.7819324,72.01017051,2.839221628,1.281950072,NA,0.018528,120
122,683.5148515,657.9759547,28.95898161,2705.100424,683.5148515,657.9759547,28.95898161,3.001736686,1.182666695,NA,0.011354553,121
123,508.8596688,481.1344373,32,2003.438675,508.8596688,481.1344373,32,2.935784123,1.224731177,NA,0.014427789,122
124,694.5518207,669.0392157,28.70028011,2749.507003,694.5518207,669.0392157,28.70028011,3.130200594,1.143529016,NA,0.006240505,123
125,550.9315347,474.5587467,90.22570351,2113.500435,550.9315347,474.5587467,90.22570351,2.902272468,1.27285771,NA,0.020306265,124
126,786.07137,761.2600492,27.45365053,3116.831829,786.07137,761.2600492,27.45365053,3.076625339,1.146455754,NA,0.005111827,125
127,391.4889135,313.3580931,91.90909091,1474.046563,391.4889135,313.3580931,91.90909091,2.774057539,1.364914539,NA,0.026880567,126
128,2933.143488,2895.10596,42.31788079,11690.25607,2933.143488,2895.10596,42.31788079,3.121194397,1.156012069,NA,0.009009932,127
129,838.4160494,816.4567901,24.37777778,3329.28642,838.4160494,816.4567901,24.37777778,3.117754233,1.134393119,NA,0.003497993,128
130,1631.027295,1608.569479,24.09677419,6500.012407,1631.027295,1608.569479,24.09677419,3.184936818,1.098986367,NA,0.002473388,129
131,128.6414141,109.6536797,21.84848485,492.7171717,128.6414141,109.6536797,21.84848485,3.165896029,1.142767309,NA,0.003257845,130
